name,reading,meaning
感度,かんど,１ 他からの刺激に感じる度合い・程度。２ 受信機・測定器などが、電波・電流などを感じる度合い。３ 写真フィルムなどの感光材料が光に反応する度合い。数値で表し、制定機関によって、現在多く使用されるISO(イソ)感度や、ASA(アサ)感度・JIS(ジス)感度などがある。
巻頭,かんとう,１ 書物や巻物などの最初の部分。巻首。２ 多くの短歌や俳句を並べて載せる場合の最初の位置。ふつう最優秀作を置く。３ 物事の初め。冒頭。
敢闘,かんとう,勇敢に戦うこと。
勘当,かんどう,１ 江戸時代、親が子の所業をこらしめるために親子の縁を絶ったこと。武士は管轄の奉行所、町人は町奉行所で登録した。この登録のないものは内証勘当といった。追い出し久離きゆうり。また、主従・師弟関係を絶つことにもいった。 ２ 罪を法に当ててかんがえること。３ こらしめ、しかること。
感動,かんどう,ある物事に深い感銘を受けて強く心を動かされること。
監督,かんとく,１ 物事を取り締まること。また、その人。２ 演劇・スポーツなどで、現場を取りしきったり、そのグループの成員を指揮・指導したりする立場にいる人。 ３ 「映画監督」に同じ。４ 法律で、ある人またはある機関が、他の人または他の機関の行為について監視し、必要とする時には指揮・命令などを加えること。５ 日本のプロテスタント教会の聖職の位の一。司祭あるいは牧師の上に立つ。日本聖公会・メソジスト教会などで戦前用いられた。ローマ-カトリックの司教に当たる。現在、正教会・聖公会では主教、メソジストでは廃止。ビショップ。
艱難,かんなん,困難に出あって苦しみ悩むこと。また、そのさま。
堪忍,かんにん,１ 人のあやまちを我慢して許すこと。勘弁。２ 不利な立場や困難な状況を堪え忍ぶこと。３ 経済力。また、生活費。
観念,かんねん,１ 物事に対してもつ考え。２ あきらめて、状況を受け入れること。覚悟すること。３ 哲学で、人間が意識の対象についてもつ、主観的な像。表象。心理学的には、具体的なものがなくても、それについて心に残る印象。４ 仏語。真理や仏・浄土などに心を集中して観察し、思念すること。観想。
完納,かんのう,納めるべき金銭・物品などを、残らず納めること。
寒波,かんぱ,寒気団が温暖な地域に進入し、気温が急激に下がる現象。
看破,かんぱ,見やぶること。物事の真相や裏面を見抜くこと。
完売,かんばい,商品を売りつくすこと。
乾杯,かんぱい,杯の酒を飲み干すこと。
完敗,かんぱい,徹底的に負けること。
間伐,かんばつ,森林や果樹園で、主な木の生育を助けたり、採光をよくしたりするために、適当な間隔で木を伐採すること。
看板,かんばん,１ 商店などで、宣伝のために屋号、扱う商品、うたい文句などを書いて人目につく所に掲げておく板状のもの。２ 劇場・映画館などで、出し物・俳優名などを書いて入り口に掲げる板。３ 世間に信用のある店の屋号。また、店の信用。４ 人の注意や関心を引きつけるのに有効なもの。また、人気があり、主力となる人や商品。５ 表向きの名目。見せかけ。６ 閉店。特に、飲食店・酒場などがその日の営業を終えること。７ 選挙区内での知名度。評判。「地盤」「鞄(かばん)」と合わせて「三ばん」という。８ 武家の中間(ちゅうげん)・小者(こもの)などが仕着せとした短い衣類。背に主家の紋所などを染め出したもの。
完備,かんび,必要なものが完全に備わっていること。また、完全に備えること。
甘美,かんび,１ 味が程よく甘くて、うまいこと。また、そのさま。２ 心地よくうっとりとした気持ちにさせること。また、そのさま。
看病,かんびょう,病人に付き添って世話をすること。
幹部,かんぶ,１ 団体や組織の中で中心となる人。２ 軍隊で将校・下士官のこと。
患部,かんぶ,病気や傷のある部分。患所。
還付,かんぷ,１ いったん所有主の移ったものを、元の所有主へ戻すこと。 ２ 還付金を返還すること。
完璧,かんぺき,欠点がまったくないこと。また、そのさま。
鑑別,かんべつ,よく調べて、種類・性質・真贋・質のよしあしなどを見分けること。
勘弁,かんべん,１ 他人の過失や要求などを許してやること。堪忍。２ 物事のよしあしをよく考えること。３ やりくりすること。算段。
簡便,かんべん,１ 取り扱いが簡単で、便利な・こと（さま）。 ２ 手っ取り早いこと。
感冒,かんぼう,くしゃみ・鼻水・発熱・倦怠感(けんたいかん)などの症状を示す急性の呼吸器疾患。
陥没,かんぼつ,落ち込むこと。沈みくぼむこと。
巻末,かんまつ,書物や巻物などの終わりの部分。巻尾。⇔巻頭。
緩慢,かんまん,１ 動きがゆったりしてのろいこと。また、そのさま。２ 物事の処理のしかたが手ぬるいこと。また、そのさま。
甘味,かんみ,１ あまい味。また、あまい食物。あまみ。２ うまい味。また、おいしい食物。３ 物事の快い味わい。面白み。
感銘,かんめい,忘れられないほど深く感動すること。心に深く刻みつけて忘れないこと。
喚問,かんもん,公的な機関に呼び出して問いただすこと。
勧誘,かんゆう,１ あることをするように勧めて誘うこと。２ 星新一のショートショート作品。たくさんのタブーに収録。
関与,かんよ,ある物事に関係すること。
慣用,かんよう,習慣的に用いること。また、習慣として世間に広く使われること。
肝要,かんよう,非常に大切なこと。最も必要なこと。また、そのさま。
陥落,かんらく,１ 落ち込むこと。陥没。２ 攻め落とされること。３ 地位や順位が下がること。４ 口説き落とされること。５ 欠けていること。欠落していること。
観覧,かんらん,見物すること。
監理,かんり,物事を監督、管理すること。取り締まること。
管理,かんり,１ ある規準などから外れないよう、全体を統制すること。２ 事が円滑に運ぶよう、事務を処理し、設備などを保存維持していくこと。３ 法律上、財産や施設などの現状を維持し、また、その目的にそった範囲内で利用・改良などをはかること。
簡略,かんりゃく,手短で簡単なこと。手軽で簡単なこと。また、そのさま。
環流,かんりゅう,めぐり流れること。また、その流れ。
完了,かんりょう,１ 物事が完全に終わること。また、完全に終えること。２ 文法で、動作・状態がすでに終了していること、また、その結果が現在まで実現している状態にあることなどを表す言い方。動詞に、文語では助動詞「つ」「ぬ」「たり」「り」、口語では助動詞「た」などを付けて表す。ヨーロッパ諸語では、基準となる時の違いに応じて、現在完了・過去完了・未来完了などの区別のあるものがある。
感涙,かんるい,深く感じて流す涙。感激・感謝のあまり流す涙。
寒冷,かんれい,ひえびえとして寒いこと。また、そのさま。
慣例,かんれい,繰り返し行われて習慣のようになった事柄。しきたり。ならわし。
関連,かんれん,ある事柄と他の事柄との間につながりがあること。連関。
貫禄,かんろく,１ 身に備わっている堂々とした威厳。身体・人格などから感じられる人間的重々しさ。 ２ 俗に、肥えていることを、軽いからかいの気持ちを込めていう。
緩和,かんわ,厳しさや激しさの程度を和らげること。また、和らぐこと。
母様,かあさま,母を敬い親しんで呼ぶ語。
加圧,かあつ,圧力を加えること。
下位,かい,地位や順位などが低いこと。
下意,かい,しもじもの者の考え。
歌意,かい,歌の意味。歌の心。
改悪,かいあく,物事を改めて、かえって悪くすること。
艾安,かいあん,世の中がよく治まって穏やかなこと。
快意,かいい,心を楽しませること。気持ちのよいこと。
海尉,かいい,海上自衛官の階級の一。海佐と准海尉との間で、一・二・三等がある。諸外国海軍および旧日本海軍の大・中・少尉に相当する。
階位,かいい,階級。位階。
海域,かいいき,ある限られた範囲の海。
貝石,かいいし,１ 化石になった貝殻。２ 貝殻のついた石。
改印,かいいん,届け出てある印鑑を別の物と替えること。
海員,かいいん,船長以外の船舶の乗組員。
開院,かいいん,１ もと、帝国議会が開かれること。２ 病院など「院」と名のつく施設・機関を新設すること。また、そのような施設が新たに業務を始めること。３ 病院などが、その日の業務を始めること。
怪雨,かいう,つむじ風で巻き上げられた土砂や魚・虫などが、雨にまじって降ってくるもの。
海芋,かいう,オランダカイウの別名。
海運,かいうん,船舶で旅客や貨物を運ぶこと。
快泳,かいえい,見ていて気持ちがよくなるほど、すばらしい泳ぎをすること。
改易,かいえき,改めかえること。更新すること。
快演,かいえん,すばらしい演技や演奏。
海燕,かいえん,ミズナギドリ目ウミツバメ科の海鳥の総称。コシジロウミツバメ・ハイイロウミツバメなど。全長14～25センチ。全体に黒褐色のものが多い。翼は長く、尾はツバメのように切れ込み、足指には水かきがある。繁殖期には小島に群集し、岩の裂け目や傾斜地に掘った穴に白い卵を1個産む。かいえん。
海塩,かいえん,海水から製した食塩。
海淵,かいえん,海底の特に深い凹地。ふつう海溝中にあり、発見船の名を冠してよぶことが多い。世界最深はマリアナ海溝のチャレンジャー海淵で、1万920メートル。
開演,かいえん,音楽・演劇・演芸などの催し物を始めること。⇔終演。
壊屋,かいおく,壊れた家。破屋(はおく)。
貝桶,かいおけ,貝合わせの貝殻を入れるふた付きの桶。八角・六角・四角・丸形などがあり、地貝(じがい)用と出し貝用と2個で一組となる。蒔絵(まきえ)を施し、江戸時代には嫁入り道具の一つとされ、現在でも雛道具の一つとなっている。
快音,かいおん,聞いて気持ちのよい音。
怪火,かいか,１ 不思議な火。怪しい火。鬼火、狐火(きつねび)の類。２ 原因不明の火事。不審火。
開化,かいか,１ 人間の知識が開け、文化が進歩すること。２ 西洋風俗や新知識を身につけていることを気どること。ハイカラであること。
開架,かいか,図書館で、利用者が直接に書架から資料を取り出すことができる方式。開架式閲覧法。⇔閉架。
階下,かいか,１ 階段の下。きざはしのもと。２ 2階以上の建物で、下の階。
諧和,かいか,１ やわらいで親しみあうこと。調和。２ 音楽の調子などがよく整っていること。
回外,かいがい,前腕を、掌(てのひら)が上を向くように回転させること。
海崖,かいがい,海食によってできた海岸のがけ。波食崖。
介殻,かいかく,貝殻(かいがら)。
海角,かいかく,陸地が海に細く突き出した先端の部分。岬。
開学,かいがく,大学を開設し、教育活動を始めること。
貝被,かいかむり,十脚目カイカムリ科のカニ。浅海の岩場にすむ。甲幅8センチくらい。甲は半球形にふくらみ、体表は茶色の毛で覆われる。後ろ二対の歩脚は短くて背面につき、先が鉤(かぎ)状で貝殻・ホヤや海綿を背負う。生殖孔の位置から、原始的とされる。
貝殻,かいがら,１ 貝の軟体を外側から包む石灰質などからなる硬い物質。２ 吉村昭の小説。少女架刑に収録。
解官,かいかん,官職を免じること。げかん。
快漢,かいかん,気性のさっぱりした、感じのよい男。快男児。好漢。
怪漢,かいかん,怪しい男。怪人物。
海関,かいかん,海港に置かれた税関。本来、清代の中国で外国貿易のための開港場に設けられたものをいう。
開巻,かいかん,１ 書物を開くこと。また、書物の初めの部分。書きだし。２ 遊戯的な俳諧で、作句を一座の前で公開すること。
開館,かいかん,１ 図書館・博物館・映画館など「館」と名のつく施設の業務を新たに始めること。２ 図書館・博物館・映画館などがその日の業務を始めること。
解顔,かいがん,顔の表情を和らげること。特に、笑顔になること。
回雁,かいがん,１ 返事の手紙。返書。返信。２ 北へ帰る雁。帰雁。
蟹眼,かいがん,茶釜の湯の煮えたぎること。
開眼,かいがん,１ よく見えなかった目が、よく見えるようになること。また、よく見えるようにすること。２ 新作の仏像・仏画を供養し、眼を点じて魂を迎え入れること。また、その儀式。３ 真理を悟ること。特に、技術・芸能の道で真髄を悟り、極致を窮めること。また、こつを会得(えとく)すること。かいがん。
会期,かいき,１ 集会などが行われる時期・期間。２ 国会や地方議会が活動する期間。通常国会の期間は原則として150日。臨時国会・特別国会の期間は両議院一致で決めるが、不一致のときは衆議院の議決による。地方議会では、当該議会が決める。
会規,かいき,会の規則。会則。
会記,かいき,茶会の記録。客の名前、道具立て、花・懐石・菓子などを記したもの。茶会記。
回忌,かいき,人の死後、毎年回ってくる祥月(しょうつき)命日。満1年目を一回忌または一周忌、満2年目を三回忌または三周忌、以後は、七・十三・三十三・五十・百回忌などといい、供養を行う。年忌。周忌。
海黄,かいき,剣尾綱カブトガニ科の節足動物の総称。カニではなく、クモ類の近縁。古生代からの現存種で、生きた化石といわれる。全長約60センチ。青黒く硬い甲をかぶり、半円状の前体、五角形状の後体および細長い剣状の尾部からなる。前体の下面に七対の付属脚があり、うち五対ははさみ状。後体の付属肢は六対ある。日本では一種が瀬戸内海・九州北西部に分布。7、8月に産卵がみられる。
海気,かいき,海辺の空気。
開基,かいき,１ 物事のもとを開くこと。基礎を築くこと。２ 仏寺または一宗派を創立すること。また、その僧。開山。３ 仏寺創建の際、財政的支持を行う世俗の人。特に禅宗で、開山と区別していう。
解義,かいぎ,意義をときあかすこと。解釈。
回議,かいぎ,担当者が原案を作り、関係者の間に順次に回して、意見を聞き、または承諾を求めること。
快技,かいぎ,見ていて気持ちがよい、みごとな技。妙技。美技。
海技,かいぎ,船舶職員として必要な技術。
開脚,かいきゃく,１ 両足を左右または前後にまっすぐ伸ばして開いた体勢。２ スキーで、つま先を外側に向けて、スキー板をV字形に開くこと。
諧謔,かいぎゃく,こっけいみのある気のきいた言葉。しゃれや冗談。ユーモア。
懐旧,かいきゅう,昔のことを、なつかしく思い出すこと。懐古。
海牛,かいぎゅう,海牛目の哺乳類の総称。ジュゴン科1種とマナティー科3種が現存。浅海や河川にすみ、前肢はひれ状、後肢は退化して外形はクジラに似るが、分類上はゾウに近い。草食性で、特徴的な口を持ち、動作は緩慢。
海渠,かいきょ,海岸線にほぼ直角に走る海底の凹地。断層などによって形成され、陸地に食い込んだ深い湾となる。
開渠,かいきょ,１ ふたをしていない水路。２ 鉄道や軌道の下を横切る水路または道路で、横断部分に覆いのないもの。
怪魚,かいぎょ,見たことのない、奇妙な魚。
海魚,かいぎょ,海にすむ魚。海でとれる魚。海水魚。
懐郷,かいきょう,故郷をなつかしく思うこと。望郷。
海峡,かいきょう,陸地に挟まれた狭い幅の水路となって、二つの海域をつなぐ海。水道。瀬戸。
海況,かいきょう,海の状況。水温・塩分・海流・プランクトンの分布などを総合しての海の状態。
開局,かいきょく,１ 放送局・郵便局など「局」と名のつく施設・機関が新しく業務を始めること。２ 囲碁の勝負を始めること。
槐棘,かいきょく,三槐と九棘。三公と九卿。公卿(くぎょう)。宮廷の人。
塊金,かいきん,砂金と一緒にとれる大きな金のかたまり。
海区,かいく,漁業行政や研究などのために区分された海上の区域。
戒具,かいぐ,刑事施設に拘禁されている人の暴行・逃走・自殺などを防ぐため、その身体の自由を拘束する器具。手錠・捕縄などの類。
回訓,かいくん,外国に駐在する外交官が指示を仰いだ事項に対する、本国政府の回答の訓令。
塊茎,かいけい,地下茎の一部が養分を蓄え、肥大したもの。ジャガイモやコンニャクイモなど。
怪傑,かいけつ,非常にすぐれた力を持つ不思議な人物。
魁傑,かいけつ,体躯(たいく)がずばぬけて大きい人。また、すぐれた人物。
懐剣,かいけん,ふところに携える護身用の短刀。懐刀(ふところがたな)。
改憲,かいけん,憲法を改正すること。
海権,かいけん,海上を支配する権力。制海権。
戒厳,かいげん,１ 戦時またはこれに準じる非常事態の際、立法・行政・司法の事務の全部または一部を軍隊の手にゆだねること。２ 厳重に警戒すること。厳戒。
改元,かいげん,年号を改めること。改号。
開元,かいげん,基礎を築くこと。特に、国を始めること。
回顧,かいこ,１ 過ぎ去ったことを思い起こすこと。２ 後ろを振り返ること。
解語,かいご,言葉がわかること。
悔悟,かいご,自分のした事の悪かったことを認めて後悔すること。
廻航,かいこう,１ 船を目的の港に向かわせること。２ あちこちの港を巡る航海。
海港,かいこう,海に面している港。また、航海船が外国貿易のために出入りする港。
海溝,かいこう,比較的急な斜面に囲まれた、細長い深海底の凹地。多くが深さ6000メートル以上を示し、長さは数百キロから数千キロに及ぶ。海洋プレートが沈み込む境界と考えられ、陸側は地震活動が活発。トレンチ（trench）。
海寇,かいこう,海上から侵入する外敵。海賊。
蟹甲,かいこう,カニのこうら。
蟹行,かいこう,１ カニのように横に歩くこと。横ばい。２ 横書きにするのが習慣になっている文字。欧文のこと。横文字。
開坑,かいこう,鉱山で、新しく坑道を切り開くこと。
開校,かいこう,学校を新設して授業を始めること。また、新設された学校の授業が始まること。
開港,かいこう,１ 新しく港や空港を開くこと。また、新しくできた港や空港の業務が始まること。２ 条約や法令によって外国との貿易のために港を開くこと。
貝香,かいこう,貝、アカニシのふた。粉末にして練り香の材料とする。へなたり。こうこう。
甲香,かいこう,貝、アカニシのふた。粉末にして練り香の材料とする。へなたり。こうこう。
開合,かいごう,１ 開いたり合わせたりすること。２ 開音と合音。開音（開口音）は口の開きの広い音、合音（合口音）は狭い開きの音。オの長音についての2種の漢字音では、韻の主母音に、円唇母音uまたは副母音wをもつものを合、その他を開とする。３ 一般的に発音、発声のこと。本来は声明(しょうみょう)・謡曲の用語。
蚕蛾,かいこが,鱗翅(りんし)目カイコガ科のガ。全身白色で胴が太く、翅(はね)をもつが飛ぶことはできず、口も退化している。繭を作ってから20日余りで繭に穴をあけて出て、すぐ交尾に入り卵を産む。寿命は1週間ほど。蚕の蝶(ちょう)。さんが。
海国,かいこく,四方が海に囲まれた国。海の利用によって繁栄を図る国。
海谷,かいこく,大陸斜面を刻む深い谷。主に乱泥流による浸食によってできる。広くは大陸棚にあるものもいう。
開国,かいこく,１ 外国との交際、通商を始めること。２ 初めて国を開くこと。建国。肇国(ちょうこく)。
誡告,かいこく,過失・失態・非行などを強く戒めること。
蚕棚,かいこだな,１ 蚕を飼う平たい籠(かご)を載せる棚。２ 何層かの棚状につくられた寝台。
塊根,かいこん,養分を蓄えて肥大し、塊状になった根。サツマイモ・ダリアなどの芋。
海佐,かいさ,海上自衛官の階級の一。海将補と海尉の間で、一、二、三等の階級に分かれる。諸外国海軍および旧日本海軍の大・中・少佐に相当する。
快哉,かいさい,ああ愉快だと思うこと。胸がすくこと。
皆済,かいさい,１ 借りた金を返しおわること。２ 年貢・税金などを完納すること。
櫂先,かいさき,１ 櫂の先。２ 茶杓(ちゃしゃく)の先端の部分。茶をすくう櫂状の部分。葉先。
快作,かいさく,鑑賞する者が感動するような、すぐれた作品。
怪作,かいさく,常識にとらわれない、怪しげで不思議な作品。
改作,かいさく,作りかえること。特に、文学作品に修正を加え、新しいものに作りなおすこと。また、その作品。
開削,かいさく,土地を切り開いて道路や運河などを通すこと。
開鑿,かいさく,土地を切り開いて道路や運河などを通すこと。
開山,かいさん,１ 仏寺を初めて開くこと。また、開いた僧。開基。２ 一宗一派を初めて開いた僧。祖師。開祖。３ ある物事の創始者。４ ある物事の権威者、第一人者。
改竄,かいざん,文書などの字句を直すこと。特に、悪用するために、勝手に直すこと。
海山,かいざん,深海洋底から1000メートル以上の高さに隆起している海中の地形。比較的孤立しているものをいう。玄武岩からなる。
会誌,かいし,会員に定期的に配布される雑誌。
回視,かいし,１ 過去をふりかえってみること。回顧。２ あたりを見回すこと。
怪死,かいし,死因に疑いのある死に方をすること。
懐紙,かいし,１ 畳んでふところに入れておく紙。臨時に書状や詩歌の料紙に用いたり、茶席で菓子を取り分けたり茶碗の縁などをふくのに用いたりする。ふところがみ。畳紙(たとうがみ)。２ 詩歌・連歌・俳諧を正式に記録、詠進するときに用いる料紙。檀紙(だんし)・奉書紙・杉原紙など。寸法・折り方・書き方などにおのおの規定がある。
海士,かいし,海上自衛官の階級の一。海曹の下で、海士長、一、二等海士の階級に分かれる。諸外国海軍および旧日本海軍の水兵長、上等・一等・二等水兵に相当する。
海市,かいし,蜃気楼(しんきろう)の異称。
芥子,かいし,カラシナの種子。乾燥させ粉末にして香辛料のほか、薬用にする。がいし。
快事,かいじ,気分がすっきりするような出来事。痛快な事柄。
海事,かいじ,海上に関係する事柄。海でおこる事柄。
海自,かいじ,自衛隊の一。海上幕僚監部、自衛艦隊・地方隊・教育航空集団などの部隊、各種学校などからなり、海上幕僚長の補佐を受けた防衛大臣の統括の下に、海上における防衛を主な任務とする。昭和29年（1954）警備隊を改組・改称して設置。海自。
界磁,かいじ,発電機・電動機などの、磁界を発生させる磁石。
絵事,かいじ,絵をかくこと。絵画の道。
解式,かいしき,解答を出すための計算方法を一定の記号を用いて表したもの。
皆敷,かいしき,食物を器に盛るとき、下に敷くもの。多くはナンテン・ヒバ・ユズリハなど常緑樹の葉で、後には紙も用いた。
開式,かいしき,式を始めること。また、始まること。
掻敷,かいしき,食物を器に盛るとき、下に敷くもの。多くはナンテン・ヒバ・ユズリハなど常緑樹の葉で、後には紙も用いた。
改質,かいしつ,ガソリンなどの炭化水素の組成・性質を改良すること。重質ナフサを加熱あるいは触媒を用いて、芳香族成分を多く含むオクタン価の高いガソリンにすることなど。リフォーミング。
開室,かいしつ,１ 部屋を人が出入りできる状態にすること。２ 企画室・開発室など、「室」の付く組織が仕事を開始すること。
会日,かいじつ,会合をする日。集まりのある日。かいび。
晦日,かいじつ,毎月の最終日。みそか。
介錯,かいしゃく,１ 切腹する人のそばに付き添っていて、その人が刀を腹に突き刺すと同時に、その首を斬って死を助けてやること。また、その人。２ 付き添って世話をすること。また、その人。後見。介添え。
界尺,かいしゃく,写経などをするとき、用紙に罫線を引いたり文鎮に用いたりする文具。
会主,かいしゅ,会を主催し運営する人。
快手,かいしゅ,すぐれた手腕・技術。
魁首,かいしゅ,集団の中で主だった者。かしら。長。特に、悪者のかしら。首魁。
皆朱,かいしゅ,朱または辰砂(しんしゃ)をまぜて全面を赤く塗りつぶした漆塗りの器物。
改宗,かいしゅう,今まで信じていた宗教や宗派を捨てて他の信仰に入ること。宗旨変え。
開宗,かいしゅう,教えが開かれ、宗教・宗派が新たに生まれること。立教。立宗。
晦渋,かいじゅう,言葉や文章がむずかしく意味がわかりにくいこと。また、そのさま。難解。
海獣,かいじゅう,海にすむ哺乳類の総称。最も海中生活に適応した鯨のほか、カイギュウ・オットセイ・アザラシ・ラッコなど。
回春,かいしゅん,１ 春が再びめぐってくること。新年になること。２ 若返ること。３ 病気が治ること。快復。
悔悛,かいしゅん,１ 犯した罪を悔い改めること。改悛。２ キリスト教で、過去の罪を悔いて、神の赦しを請うこと。
会所,かいしょ,人の集会する所。また、そのための建物や部屋。
回書,かいしょ,１ 返事の文。返書。２ 順に回して読ませる文書。回章。回状。
廻書,かいしょ,１ 返事の文。返書。２ 順に回して読ませる文書。回章。回状。
開所,かいしょ,事務所・研究所など「所」のつく施設・機関を新しく設けて業務を始めること。
楷書,かいしょ,漢字の書体の一。点画を正確に書き、現在、最も標準的な書体とされている。隷書から転じたもので、六朝(りくちょう)中期に始まり唐のころ完成した。真書。正書。
解舒,かいじょ,繭から生糸を繰り取る際の、繭糸のほぐれぐあい。品質などに影響する。
海恕,かいじょ,海のように広い度量で、相手を許すこと。多く手紙などで「御海恕」の形で用いられる。
会商,かいしょう,会合して相談すること。また、その相談。
回章,かいしょう,１ 順に回して見せる文書、書状。ふつう、あて名が列記してある。回文。回状。２ 返事の手紙。返書。回書。
改称,かいしょう,名前や呼び名を変えること。改名。
海商,かいしょう,海上における商行為。海運業など。
海将,かいしょう,海上自衛官の階級の一。最高位の階級。海将補の上。諸外国海軍および旧日本海軍の大・中将に相当する。
海象,かいしょう,海洋の自然現象の総称。
海相,かいしょう,海軍大臣の略称。
海嘯,かいしょう,１ 海鳴り。２ 満潮の際、河口に入る潮波の前面が垂直の高い壁状になり、砕けながら川上に進む現象。河口が三角形状の川にみられ、中国の銭塘江(せんとうこう)、ブラジルのアマゾン川などに起こるものが有名。ボア。潮津波(しおつなみ)。
解錠,かいじょう,鍵のかかっている錠を、合い鍵、不正な工具などを使って壊さずに開けること。
回状,かいじょう,関係者の間で連絡事項を回し読みさせる文書。回章。
塊状,かいじょう,１ 物体が不規則に固まっている状態。また、その形。２ 岩石の構造に層理や片理がなく、均質で、固まっていること。
廻状,かいじょう,関係者の間で連絡事項を回し読みさせる文書。回章。
戒杖,かいじょう,山伏などが護身用に持って歩くつえ。錫杖(しゃくじょう)。
海上,かいじょう,海の上。海面。海路。
開城,かいじょう,降伏して城や要塞(ようさい)を敵に明け渡すこと。
開錠,かいじょう,１ 鍵のかかっている錠を、破壊することを含めて何らかの方法で開けること。２ 電子的な暗号で施錠されてアクセスできないようになっているコンピューターやサーバー、システムなどに、電子的な鍵を用いてアクセスできるようにすること。
階上,かいじょう,１ 階段の上。２ 2階建て以上の建物の、下からみて上の階。
階乗,かいじょう,1からnまでの連続するn個の自然数の積をnの階乗という。n!と書き、例えば4!＝1×2×3×4＝24と表す。ただし、0の階乗は1とする。
快食,かいしょく,体調がよく、食事が進むこと。おいしく食事をすること。
海食,かいしょく,潮流や波が海岸や海底を少しずつ崩し削り取ること。
海蝕,かいしょく,潮流や波が海岸や海底を少しずつ崩し削り取ること。
灰色,かいしょく,はいいろ。
垣代,かいしろ,１ 垣の代わりとして用いる幕。帳(とばり)を隔てとして用いるときの呼び名。２ 青海波(せいがいは)の舞楽のとき、庭上に垣根のように立ち並ぶ楽人の称。
回信,かいしん,返事の手紙。返信。
回心,かいしん,キリスト教で、罪のゆるしと洗礼によってひきおこされる、心の大きな転換。
回申,かいしん,目上の人にあてて返事の手紙や文書を出すこと。
海進,かいしん,海面の上昇、あるいは陸地の沈降によって海が陸に入り込んでくること。
海震,かいしん,海上の船舶が感じる地震。地震波が縦波となって伝わるため、短周期の上下動が激しい。
開申,かいしん,１ 申し開きをすること。２ 自己の職権内でしたことを上級者や監督官庁に告げ知らせること。上申。
開進,かいしん,１ 文明や人知が開け進むこと。２ 隊形が、縦隊から横隊に変わること。
海神,かいじん,海をつかさどる神。海の神。わたつみ。
灰燼,かいじん,灰や燃え殻。建物などが燃えて跡形もないこと。
海図,かいず,海の深さや岩礁の存在、海底の性質、潮流・航海標識など、海洋の状態を記入した航海者用の地図。総図や、大洋用の航洋図、陸地付近用の航海図、沿岸用の海岸図、港内用の港泊図などがある。水深はふつう最低低潮線を基準にする。
海水,かいすい,海の水。ナトリウム塩・カルシウム塩を主成分とする多くの無機塩類を重量比で約3.5パーセント含み、含有成分の濃度は海域により異なるが、組成は一定している。
階数,かいすう,１ 建築物の階の数。２ 数学で、微分方程式に含まれる最高次の導関数の次数。また、ある行列の小行列式のうち、零でないものの最高次数。
回生,かいせい,生き返ること。よみがえること。蘇生(そせい)。
改姓,かいせい,姓を変えること。また、その変えた姓。
魁星,かいせい,１ 北斗七星を柄杓(ひしゃく)になぞらえたとき、水をくむ部分の先端にある第1星。２ 進士の試験に第1位の成績で及第した者。
開成,かいせい,人知を開発し、仕事を成しとげること。
諧声,かいせい,１ よく調和する声。２ 漢字の六書(りくしょ)の一。形声(けいせい)の異称。
会席,かいせき,１ 多数の人が寄り集まる席。寄り合いの席。多く、連歌・俳諧や茶会などを行う席をいう。２ 江戸時代以降に発達した酒宴向きの料理。本膳料理と懐石が変化・発達したもので、現在では日本料理の主流となっている。
怪石,かいせき,形の変わった石。
懐石,かいせき,茶の湯の席で、茶をすすめる前に出す簡単な手料理。一汁三菜が一般的。茶懐石。懐石料理。
開析,かいせき,台地状の地形が川によって浸食され、数多くの谷が刻まれること。
回折,かいせつ,波が障害物に遮られたとき、その物陰の部分にも波がまわりこんで伝播する現象。波に特有の現象で、海波・音波・光波やX線のほか、波動性をもつ電子線や中性子線でもみられる。
回雪,かいせつ,１ 風に舞う雪。２ 雪が舞うようにひらひらと袖を翻す舞。
回旋,かいせん,１ くるくる回ること。くるりと回すこと。旋回。２ 植物の茎が支柱などに巻きつきながら伸びていくこと。アサガオなどにみられ、右巻きと左巻きとがある。３ 上腕や腿(もも)を、位置を変えず、長軸を中心として回転させること。内旋と外旋がある。
回船,かいせん,港から港へ旅客や貨物を運んで回る船。中世以後に発達し、江戸時代には菱垣(ひがき)廻船・樽(たる)廻船のほか、西回り航路・東回り航路、さらに北国廻船が成立して船による輸送網が発達した。
廻船,かいせん,港から港へ旅客や貨物を運んで回る船。中世以後に発達し、江戸時代には菱垣(ひがき)廻船・樽(たる)廻船のほか、西回り航路・東回り航路、さらに北国廻船が成立して船による輸送網が発達した。
改選,かいせん,任期満了のときなどに、議員・役員などを改めて選挙すること。
海戦,かいせん,海洋における戦闘。
界線,かいせん,１ 二つの地域の境界を表す線。２ 投影図で、正面と平面との境界を示す横の線。３ 非ユークリッド幾何学で、平行線群を直角に切る線。半径が無限大の円弧で、直線ではないとする。
疥癬,かいせん,疥癬虫（ヒゼンダニ）の寄生によって起こる伝染性の皮膚病。下腹部・わきの下・内またなどに散発する赤い丘疹(きゅうしん)、指の間に多発する小水疱(しょうすいほう)・水膿疱(すいのうほう)と線状の皮疹などが特徴で、非常にかゆい。馬・メンヨウ・ヤギなどにも発生し、家畜伝染病予防法の監視伝染病（届出伝染病）の一。湿瘡(しっそう)。皮癬(ひぜん)。
階前,かいぜん,１ 建物に出入りする階段の前。きざはしの前。２ 庭先。
