name,reading,meaning
銃把,じゅうは,銃床の一部で、射撃の際に引き金を引く手で握る部分。
従犯,じゅうはん,共犯の一。正犯を幇助(ほうじょ)する罪。刑は正犯の刑に照らして減軽される。
重版,じゅうはん,既刊の書物を、同じ版で増刷すること。また、その本。重刻。
重病,じゅうびょう,重い病気。大病。
重宝,じゅうほう,貴重な宝物。
重砲,じゅうほう,口径の大きい大砲。強力な砲弾の威力をもち、長距離の射撃が可能。⇔軽砲。
充満,じゅうまん,１ 一定の空間などに、あるものがいっぱいにみちること。２ 満ち足りること。満足。３ 腹いっぱいになること。満腹。
住民,じゅうみん,ある一定の地域内に居住している人。
渋面,じゅうめん,しぶい表情。不愉快そうなにがにがしい顔つき。しかめっつら。
重役,じゅうやく,１ 責任の重い役目・役職。大役 (たいやく) 。２ 株式会社の取締役・監査役など役員の総称。３ 徳川幕府や諸大名家の重要な役。老中・若年寄・家老など。
充用,じゅうよう,足りないところにあてて用いること。
重用,じゅうよう,人を重要な職務や地位につかせて用いること。ちょうよう。
重要,じゅうよう,物事の根本・本質・成否などに大きくかかわること。きわめて大切であること。また、そのさま。
縦覧,じゅうらん,自由に見ること。思うままに見てまわること。しょうらん。
重量,じゅうりょう,１ 物の重さ。目方。２ 目方が重いこと。３ 地球上の物体に作用する重力の大きさ。その物体の質量と重力加速度との積に等しい。地球上の場所により重力加速度の値が異なるので、同一物体の重さも異なる。
銃猟,じゅうりょう,銃を使って行う狩猟。
従輪,じゅうりん,機関車の動輪の後ろに並んでいるやや小形の車輪。
蹂躙,じゅうりん,ふみにじること。暴力・強権などをもって他を侵害すること。
縦列,じゅうれつ,たてに並ぶこと。たてに並んだ列。⇔横列。
重禄,じゅうろく,多額の俸禄。
受益,じゅえき,利益を受けること。
樹液,じゅえき,１ 立ち木の幹などから分泌する液。２ 樹木の中に含まれている、養分となる液。
受給,じゅきゅう,給与・配給などを受けること。
需給,じゅきゅう,需要と供給。需供。
授業,じゅぎょう,学校などで、学問や技芸を教え授けること。
受苦,じゅく,苦しみを受けること。
熟語,じゅくご,１ 2字またはそれ以上の漢字で書かれる漢語。熟字。２ 二つまたはそれ以上の単語が合わさって、一つの単語として用いられるようになったもの。複合語。合成語。３ 慣用によって、特定の意味に用いられるようになった語句。慣用句。成句。イディオム。
熟睡,じゅくすい,ぐっすりとよく眠ること。熟眠。うまい。
熟成,じゅくせい,１ 成熟して十分なころあいに達すること。２ 魚肉・獣肉などが酵素の作用により分解され、特殊な風味・うまみが出ること。発酵を終えたあとそのままにし、さらに味をならすこともある。なれ。３ 物質を適当な温度などの条件のもとに長時間置いて、ゆっくりと化学変化を起こさせること。
熟達,じゅくたつ,熟練して上達すること。
熟知,じゅくち,細かなところまでよく知っていること。詳しく知っていること。
熟読,じゅくどく,文章の意味をよく考えながらじっくり読むこと。
塾弁,じゅくべん,学習塾に通う子供が、主に夕食として持参する弁当。
熟覧,じゅくらん,念を入れて詳しく見ること。
熟慮,じゅくりょ,よくよく考えること。いろいろなことを考えに入れて、念入りに検討すること。熟考。
熟練,じゅくれん,物事に慣れて、手際よくじょうずにできること。また、そのさま。
受刑,じゅけい,犯した罪に対して、刑の執行を受けること。
受検,じゅけん,検査・検定を受けること。
受験,じゅけん,試験を受けること。
受講,じゅこう,講義や講習を受けること。
入魂,じゅこん,親しく交際していること。懇意。昵懇(じっこん)。
授産,じゅさん,失業者・貧困者などに仕事を与え、生計を立てさせること。
授受,じゅじゅ,さずけることと受け取ること。受け渡し。
受傷,じゅしょう,事故で、傷をうけること。
受章,じゅしょう,勲章などを受けること。
受賞,じゅしょう,賞をうけること。
授章,じゅしょう,勲章などをさずけること。
授賞,じゅしょう,賞を授与すること。
受信,じゅしん,１ 電信・電波などを受けること。２ 電報または郵便物を受け取ること。
受診,じゅしん,医師の診察を受けること。
入水,じゅすい,水中に身を投げて自殺すること。みなげ。にゅうすい。
受像,じゅぞう,テレビ電波を受けて受信機が画面に像を作ること。また、その像。
受贈,じゅぞう,寄贈されたものを受け入れること。
受胎,じゅたい,身ごもること。妊娠。懐妊。
受託,じゅたく,頼まれて引き受けること。また、頼まれて金銭や物品を預かること。
受諾,じゅだく,相手からの提案・申し入れなどを受け入れること。
受注,じゅちゅう,注文を受けること。
術語,じゅつご,学問・技術などの専門分野で、特に限定された意味で用いられる語。専門用語。
熟考,じゅっこう,念を入れてよく考えること。熟慮。
入魂,じゅっこん,親密であること。また、そのさま。じゅこん。
術策,じゅっさく,はかりごと。術計。策謀。
述作,じゅっさく,１ 書きあらわすこと。また、その作品。著述。著作。２ 先人の言説を伝え述べることと、自分で新しく説をなすこと。
術士,じゅつし,１ はかりごとの巧みな人。策士。２ 方術に通じた人。方士。
術中,じゅっちゅう,相手の仕掛けたわな。計略。
受電,じゅでん,１ 電報を受けること。２ 電力を受けること。
受動,じゅどう,他からの動作・作用を受けること。他から働きかけられること。受け身。
受難,じゅなん,１ 苦難・災難を受けること。２ キリスト教用語。イエス＝キリストが十字架にかけられて受けた苦難。
授乳,じゅにゅう,乳児に乳を飲ませること。
受任,じゅにん,１ 任務・任命を受けること。２ 委任契約により、一定の事務を処理する義務を負うこと。
受忍,じゅにん,不利益や迷惑をこうむっても、耐え忍んでがまんすること。
受納,じゅのう,贈り物の金品などを、受け取って納め入れること。
呪縛,じゅばく,まじないをかけて動けなくすること。心理的な強制によって、人の自由を束縛すること。
受粉,じゅふん,雄しべの花粉が雌しべの先端につくこと。その結果として受精が行われる。
受法,じゅほう,弟子の僧が師から法を受けること。
樹木,じゅもく,地面に生えている木の総称。立ち木。
呪薬,じゅやく,未開社会で、神秘的な力をもち、病気やけがなどを治すと信じられている物質。
授与,じゅよ,さずけあたえること。
受容,じゅよう,受け入れて、とりこむこと。
受用,じゅよう,受け入れて用いること。また、受け入れて味わい楽しむこと。
需用,じゅよう,必要な物を求めて用いること。
需要,じゅよう,１ もとめること。いりよう。２ 家計・企業などの経済主体が市場において購入しようとする欲求。購買力に裏づけられたものをいう。
受理,じゅり,提出された願書・届け・訴状などを受け取って処理すること。
受療,じゅりょう,診療を受けること。
受領,じゅりょう,１ 物や金を受け取ること。２ 平安中期以降、実際に任国に赴任して政務を執った国司の最上席の者。通例は守 (かみ) ・権守 (ごんのかみ) 。時には、介 (すけ) をもいう。ずろう。３ 江戸時代、優秀と認められた職人・芸人などが栄誉として国名を付した一種の官位を名のることを許されること。また、その人。竹本筑後掾 (ちくごのじょう) など。
寿齢,じゅれい,長い命。長命。長寿。
樹齢,じゅれい,樹木の年齢。
純愛,じゅんあい,純粋な愛情。特に、男女間のひたむきな愛情。
順位,じゅんい,一定の基準によって上下あるいはあとさきの関係で順に並べられるときの、それぞれの位置。
純益,じゅんえき,総収益から総費用を差し引いた純粋の利益。純収益。
順延,じゅんえん,順繰りに期日を延ばしていくこと。
巡回,じゅんかい,１ ある目的のために、各地を順次に移動すること。２ ある一定区域内を次から次へと見て回ること。
潤滑,じゅんかつ,潤いがあって、動きの滑らかなこと。また、そのさま。
循環,じゅんかん,１ ひとめぐりして、もとへ戻ることを繰り返すこと。２ 血液やリンパが体内をめぐること。３ 流体力学で、ある閉曲線上で流体の速度の接線成分を積分した値。
旬刊,じゅんかん,新聞・雑誌などを定期的に10日ごとに刊行すること。また、その刊行物。
旬間,じゅんかん,行事などを行うために、特に区切られた10日間。
順逆,じゅんぎゃく,１ 正しい順序と逆の順序。２ 道理に従うことと、そむくこと。３ 恭順と反逆。４ 仏語。順縁と逆縁。
準拠,じゅんきょ,あるものをよりどころとしてそれに従うこと。また、そのよりどころ。
殉教,じゅんきょう,１ 自らの信仰のために生命をささげること。２ 星新一のショートショート作品。ようこそ地球さんに収録。
巡業,じゅんぎょう,各地を興行して回ること。
純金,じゅんきん,まじり物のない金。金無垢(きんむく)。二十四金。
純銀,じゅんぎん,まじり物のない銀。銀無垢(ぎんむく)。
純潔,じゅんけつ,１ けがれがなく心が清らかなこと。また、そのさま。２ 異性との性的なまじわりがなく心身が清らかなこと。
純血,じゅんけつ,同種の動物の雌雄間に生まれたもの。純粋な血統。
巡検,じゅんけん,見回って調べること。
巡航,じゅんこう,１ 船舶などがあちこちを回ること。２ ある二地点間の飛行で、一定の高度と速度を維持しながら飛行を継続している状態。
巡行,じゅんこう,１ 各地を巡り歩くこと。２ 祭礼などのとき、御輿 (みこし) や行列が、一定のコースを順に回ること。お練り。
殉死,じゅんし,主君が死亡したときに、臣下があとを追って自殺すること。
巡視,じゅんし,警戒・監督などのために見回ること。
順次,じゅんじ,１ 順序に従って物事をするさま。順々。順繰り。２ 仏語。この世の次の世。来世。３ 年齢の順序に従い、親が死んでから死ぬこと。
遵守,じゅんしゅ,法律や道徳・習慣を守り、従うこと。循守。
順順,じゅんじゅん,順序を追ってすること。順次。
諄諄,じゅんじゅん,よくわかるように繰り返し教えさとすさま。
順序,じゅんじょ,１ ある基準に従った並び方。また、その位置。順番。２ 物事を行う手順。段取り。
純情,じゅんじょう,純真で邪心のない心。また、その心をもっているさま。
殉職,じゅんしょく,１ 職責を果たそうとして命を失うこと。２ 星新一のショートショート作品。悪魔のいる天国に収録。
純真,じゅんしん,心にけがれのないこと。邪心がなく清らかなこと。また、そのさま。
純水,じゅんすい,不純物のきわめて少ない水。イオン交換樹脂処理などによって得られる。
純粋,じゅんすい,１ まじりけのないこと。雑多なものがまじっていないこと。また、そのさま。２ 邪念や私欲のないこと。気持ちに打算や掛け引きのないこと。また、そのさま。３ そのことだけをいちずに行うこと。ひたむきなこと。また、そのさま。４ 哲学で、外的、偶然的なものを含まず、それ自体の内的な普遍性・必然性をさす。５ 学問で、応用を考えず理論だけを追究する分野。純粋数学・純粋法学など。
純正,じゅんせい,１ 純粋で正しいこと。まじりけがなく、本来のものであること。また、そのさま。２ 応用や実利には及ばないで、もっぱら理論を主とすること。
順接,じゅんせつ,二つの文または句の接続のしかたで、前件が後件の順当な原因・理由などになっているもの。
純然,じゅんぜん,１ まじりけのないさま。２ まさしくそれに相違ないさま。
順走,じゅんそう,ヨットや帆船などが順風を受けて帆走すること。
準則,じゅんそく,規則にのっとること。また、よりどころとすべき規則。
潤沢,じゅんたく,１ ものが豊富にあること。また、そのさま。２ しっとりとしてつやのあるさま。うるおいのあるさま。また、つややうるおい。
順調,じゅんちょう,物事が調子よく運ぶこと。とどこおりなくはかどること。また、そのさま。順潮。
純度,じゅんど,品質の純粋さの度合い。
順当,じゅんとう,順序や道理のうえからみて適当であること。また、そのさま。
順応,じゅんのう,１ 環境や境遇の変化に従って性質や行動がそれに合うように変わること。２ 外界からの刺激に対して、感覚器官が慣れていくこと。
純白,じゅんぱく,１ まじりけのない白色。また、まっしろなさま。２ けがれがなく清らかなこと。また、そのさま。
順番,じゅんばん,順序に従って代わる代わるそのことに当たること。また、その順序。
準備,じゅんび,物事をする前に、あらかじめ必要なものをそろえたり態勢を整えたりして用意をすること。
順風,じゅんぷう,自分の進む方向、特に、船の進む方向に吹く風。追い風。
純朴,じゅんぼく,かざりけがなく素直なこと。人情が厚くて素朴なこと。また、そのさま。
純毛,じゅんもう,まじりもののない毛糸。また、その毛糸で織った織物。
巡邏,じゅんら,１ 見回って警戒すること。見回り。２ 江戸末期、江戸市中を巡回警備した役人。邏卒。
純理,じゅんり,純粋の理論・学理。
順路,じゅんろ,順序よく進めるように定めた道筋。道順。
次葉,じよう,書籍などで、次にある紙。また、次のページ。
滋養,じよう,からだの栄養となること。また、そのもの。
情愛,じょうあい,いつくしみ愛する気持ち。深く愛する心。なさけ。愛情。
上位,じょうい,順位・地位・位置が上であること。
情意,じょうい,思い。気持ち。
乗員,じょういん,船舶・列車・航空機などに乗り組み、任務に就いている者。乗組員。乗務員。
剰員,じょういん,余分の人員。余った人員。
上映,じょうえい,映画をうつして観客に見せること。
上演,じょうえん,観客に見せるために劇などを舞台で演じること。
情炎,じょうえん,激しく燃え上がる欲情。
常温,じょうおん,１ 常に一定した温度。恒温。２ 熱したり冷やしたりしない自然な温度。ふつう、セ氏15度をいう。３ 一年中の平均温度。
城下,じょうか,１ 城の下。城のそば。２ 城下町。
浄化,じょうか,１ きれいにすること。清浄にすること。２ 心身の罪やけがれを取り除くこと。社会の悪弊などを除いて、あるべき状態にすること。３ ある地域から他民族を排し、民族構成を単一化すること。４ 文学作品などの鑑賞において、そこに展開される世界への感情移入が行われることで、日常生活の中で抑圧されていた感情が解放され、快感がもたらされること。特に悲劇のもたらす効果としてアリストテレスが説いた。
上階,じょうかい,１ 建物の上のほうの階。２ 位階で、上下階のあるうちの上の階。
場外,じょうがい,１ ある場所や会場の外。２ 商品先物取引で、取引所の外のこと。また、取引所外取引のこと。３ 「場外市場」のこと。
城閣,じょうかく,城の物見。城楼。また、城。
情感,じょうかん,１ 物事に接したときに心にわき起こる感情。また、人の心に訴えるような、しみじみした感じ。２ 物事に感じて起こる気持ち。外界の刺激の感覚や観念によって引き起こされる、ある対象に対する態度や価値づけ。快・不快、好き・嫌い、恐怖、怒りなど。
上気,じょうき,１ 顔に血が上ってのぼせること。のぼせて顔を赤くすること。２ 頭に血が上って興奮し、自分を見失うこと。逆上すること。
上記,じょうき,ある記事の上、または前に書いてあること。また、その文句。
乗機,じょうき,飛行機に乗ること。また、その人の乗る飛行機。
蒸気,じょうき,１ 液体の蒸発や固体の昇華によって生じる気体。２ 水が蒸発してできた無色透明の気体。湯気が白く見えるのはこの一部が冷えて細かい水滴となるため。３ 「蒸気機関車」「蒸気船」の略。
上客,じょうきゃく,１ 上座に就くべき、主だった客。２ 商売上での大切な、ありがたい客。上得意。
乗客,じょうきゃく,船舶・航空機・列車などに乗る客。また、乗っている客。じょうかく。
常客,じょうきゃく,店によく来るなじみの客。常連。
上級,じょうきゅう,段階・等級などが高いこと。
上京,じょうきょう,地方で暮らす人が都に行くこと。特に東京へ行くこと。
常況,じょうきょう,ふだんのありさま。
状況,じょうきょう,移り変わる物事の、その時々のありさま。
剰金,じょうきん,余った金銭。残金。剰余金。
上空,じょうくう,空の上の方。また、ある地点の上にある空。
上下,じょうげ,１ 高い所と低い所。高い方と低い方。２ 衣服で、上半身用のものと下半身用のもの。洋服ではスーツ、和服では裃 (かみしも) をさすことが多い。３ 本など、ひとまとまりの内容をもつものを二つに分けた、始めのほうと後のほう。４ 地位・身分・年齢などの、上位と下位。また、その人。５ 数値の高いほうと低いほう。また、数値が高くなったり低くなったりすること。６ 川上と川下を行き来すること。のぼりくだり。７ 鉄道や道路などの、都へ向かう方と都から離れる方。また、それぞれの方向へ行き来すること。のぼりくだり。８ 行きと帰り。往復。９ ことばのやりとり。討論。問答。１０ あげたりさげたりすること。あがったりさがったりすること。
場景,じょうけい,ある場面でのものごとのありさま。その場の光景。
情景,じょうけい,心にある感じを起こさせる光景や場面。
上件,じょうけん,前に述べた事柄。前述。
条件,じょうけん,１ 約束や決定をする際に、その内容に関しての前提や制約となる事柄。２ ある物事が成立・実現するために必要な、または充分な事柄。３ 法律行為の効力の発生または消滅を、発生するかどうか不確定な将来の事実にかからせる付款 (ふかん) 。また、その事実。４ 星新一のショートショート作品。ごたごた気流に収録。
上限,じょうげん,１ 上の方の限界。２ 時代の古いほうの限界。３ 数学で、上界のうちで最小の数。もとの集合に対していう。４ 数学で、定積分で、積分区間上の限界。上端。
上戸,じょうご,１ 酒の好きな人。また、酒が好きで、たくさん飲める人。酒飲み。２ 他の語の下に付いて複合語をつくり、酒に酔うとよく出る癖の状態を表す。日常の癖についていう場合もある。
乗降,じょうこう,乗り物にのることとおりること。のりおり。
条項,じょうこう,箇条書きにしたものの、一つ一つの項目。箇条。
浄財,じょうざい,寺社や慈善事業などに寄付する金銭。
錠剤,じょうざい,医薬品を一定の形状に圧縮して服用しやすくしたもの。
上作,じょうさく,１ 物の出来がすぐれていて、よいこと。上出来。２ 農作物の収穫量が多いこと。豊作。
上策,じょうさく,１ すぐれた考えや策略。良策。２ 上位の者に意見を書いた文書を提出すること。上表。
上梓,じょうし,１ 文字などを版木に刻むこと。２ 書物を出版すること。
上司,じょうし,１ その人より役職が上位の人。上役。２ その官庁の上級の官庁。３ 荘園制で、現地で実務にあたる下司 (げし) に対し、在京の荘官。預かり所 (どころ) 。
上肢,じょうし,人間の腕や手。上腕・前腕・手を含めていう。⇔下肢。
城址,じょうし,しろあと。城跡。
情死,じょうし,愛し合っている男女が、合意の上で一緒に死ぬこと。心中。
常時,じょうじ,ふだん。平生(へいぜい)。いつも。副詞的にも用いる。
常識,じょうしき,１ 一般の社会人が共通にもつ、またもつべき普通の知識・意見や判断力。２ 星新一のショートショート作品。かぼちゃの馬車に収録。
上質,じょうしつ,品質が上等であること。また、そのさま。
上日,じょうじつ,１ 月の第1日。ついたち。２ 古代、官人の出勤した日。また、その日に出勤すること。
情実,じょうじつ,１ 個人的な利害・感情がからんで公平な取扱いができない関係や状態。２ 実際のありさま。実情。３ 偽りのない気持ち。まごころ。
乗車,じょうしゃ,１ 鉄道・バスなどに乗ること。２ ある人が乗る車。
城主,じょうしゅ,１ 城のあるじ。２ 江戸時代、国持と准国主以外で、城を持っていた大名。
情趣,じょうしゅ,しみじみと落ち着いた気分やおもむき。
成就,じょうじゅ,物事を成し遂げること。また、願いなどがかなうこと。
常習,じょうしゅう,ふだん習慣的にしていること。また、癖のようになっている行い。現代では多く、好ましくない事にいう。
上述,じょうじゅつ,以上に述べたこと。また、すぐ前のところで述べたこと。前述。
上旬,じょうじゅん,月の1日から10日までの10日間。初旬。上澣(じょうかん)。
浄書,じょうしょ,下書きなどをきれいに書きなおすこと。また、その書きなおしたもの。清書。浄写。
上昇,じょうしょう,より高い位置、高い程度に向かってゆくこと。上がってゆくこと。
常勝,じょうしょう,戦うたびに勝つこと。いつも勝つこと。
上上,じょうじょう,この上なくよいこと。非常によいこと。また、そのさま。上乗。
上場,じょうじょう,１ 劇などを上演すること。２ 特定の株式・債券銘柄や特定の商品を、証券取引所（金融商品取引所）または商品取引所の市場において、売買取引の対象とすること。
冗冗,じょうじょう,１ 話などが長くてくどいさま。２ 入り乱れているさま。
情状,じょうじょう,１ 実際の事情。実情。２ 刑事訴追を行うかどうかの判断や刑の量定にあたって、斟酌 (しんしゃく) される事情。通常、犯人の性格・年齢・境遇など。
常職,じょうしょく,一定の職務・職業。定職。
上申,じょうしん,意見を上の者に申し述べること。具申。
常人,じょうじん,才能や考え方などが普通の人。並みの人。じょうにん。
上手,じょうず,１ 物事のやり方が巧みで、手際のよいこと。また、そのさまやその人。２ 口先で人のごきげんをとるのがうまいこと。また、そのさまやその口先だけの言葉。おじょうず。
上水,じょうすい,１ 飲料などとして管や溝を通して供給されるきれいな水。２ 1を導く水路。上水道。
浄水,じょうすい,１ 清らかな水。けがれのない水。２ 神社で手を洗い清める水。３ 濾過 (ろか) したり消毒したりした清浄な水。
上製,じょうせい,つくりが普通より上等であること。また、そのもの。
情性,じょうせい,１ 人情と性質。性情。心。２ 感情の働き。
上席,じょうせき,１ その場所で、上位とされる席。上座。かみざ。２ 階級・等級や席次が上位であること。
定席,じょうせき,１ 座る人がいつもきまっている席。２ 常設の寄席。３ 常客として行く家。行きつけの家。
常設,じょうせつ,時期を限らず、いつも設けておくこと。また、いつも設けてあること。
饒舌,じょうぜつ,やたらにしゃべること。また、そのさま。おしゃべり。多弁。
乗船,じょうせん,１ 船に乗り込むこと。上船。２ その人が乗っている船。
剰銭,じょうせん,余った金銭。また、釣り銭。
上層,じょうそう,１ 幾重にも重なってできているものの上の方の部分。２ 社会などの中で、上の方の階級・階層。３ 高い建造物の上の方にある階。
醸造,じょうぞう,発酵作用を応用して、酒類・醤油・味噌などを製造すること。
上体,じょうたい,人間のからだの腰から上の部分。上半身。
上腿,じょうたい,人間の脚の、ひざから上の部分。もも。大腿。
常態,じょうたい,平常の状態。
状態,じょうたい,人や物事の、ある時点でのありさま。
上達,じょうたつ,１ 技芸・技術などがよく身につき、進歩すること。２ 下の者の意見などが君主や上位の官に知られること。
上段,じょうだん,１ 複数の段があるうちの上の方の段。２ かみざ。上席。３ 剣道・槍術 (そうじゅつ) などで、刀・槍 (やり) を頭上に高く振りかざして構えること。４ 書院造りで、下段の間に続いて、框 (かまち) の高さだけ床を高くした座敷。主君が家臣と対面した所。
冗談,じょうだん,１ 遊びでいう言葉。ふざけた内容の話。２ たわむれにすること。また、そのさま。いたずら。
常駐,じょうちゅう,１ いつも駐在・駐屯していること。２ コンピューターで、プログラムやデータが内部記憶装置（メモリー）の一定の場所に常にあること。
情緒,じょうちょ,１ 事に触れて起こるさまざまの微妙な感情。また、その感情を起こさせる特殊な雰囲気。２ 恐怖・驚き・怒り・悲しみ・喜びなどの感情で、急激で一時的なもの。
冗長,じょうちょう,文章・話などが、むだが多くて長いこと。また、そのさま。
常直,じょうちょく,毎日宿直すること。また、その人。
上程,じょうてい,議案などを会議にかけること。
譲渡,じょうと,権利・財産、法律上の地位などを、他人にゆずりわたすこと。
上等,じょうとう,１ 物の品質や出来ばえなどが、すぐれてよいこと。また、そのさま。優秀。２ 申し分がないさま。結構。上出来。満足。３ 等級が上であること。等級が上のもの。
常套,じょうとう,きまりきった、または、ありふれたやり方。
常道,じょうどう,１ つねに人間が守るべき道。２ だれもがとる普通のやり方。一般の原則にかなったやり方。
場内,じょうない,１ 一定の場所の中。会場の内部。２ 「場内市場」のこと。
常任,じょうにん,いつもその任務に就いていること。
情熱,じょうねつ,１ ある物事に向かって気持ちが燃え立つこと。また、その気持ち。熱情。２ 星新一のショートショート作品。悪魔のいる天国に収録。
情念,じょうねん,感情が刺激されて生ずる想念。抑えがたい愛憎の感情。
上納,じょうのう,１ 政府などに金品を納めること。２ 年貢米。年貢。
乗馬,じょうば,１ 馬に乗ること。２ 人がいつの間にかその場からいなくなること。また、人が家を出て行方不明になること。
蒸発,じょうはつ,液体がその表面から気化する現象。
常備,じょうび,いつも用意しておくこと。
上品,じょうひん,１ 品質のよいこと。また、高級品。２ 品格のあるさま。品のよいさま。また、味などの洗練されているさま。
情婦,じょうふ,男の情人である女。いろおんな。また、内縁関係にある女。
上部,じょうぶ,上の部分。上の方。
丈夫,じょうぶ,１ 健康に恵まれているさま。達者。２ 物が、しっかりしていて壊れにくいさま。３ 確かなさま。確実。
城壁,じょうへき,城の周囲の壁や塀。
譲歩,じょうほ,自分の意見や主張を押さえて相手の意向に従ったり妥協したりすること。
上方,じょうほう,上のほう。⇔下方。
城堡,じょうほう,城ととりで。また、敵を防ぐための構造物。じょうほ。
情報,じょうほう,１ ある物事の内容や事情についての知らせ。インフォメーション。２ 文字・数字などの記号やシンボルの媒体によって伝達され、受け手に状況に対する知識や適切な判断を生じさせるもの。３ 生体系が働くための指令や信号。神経系の神経情報、内分泌系のホルモン情報、遺伝情報など。
錠前,じょうまえ,戸やふたなど、開けたてする所につけて、他人が勝手に開けられないようにする金具。
情味,じょうみ,１ 物のおもむき・おもしろみ。情趣。２ やさしい心遣い。人間らしいあたたかみ。人情味。
常命,じょうみょう,人間の普通の寿命。
乗務,じょうむ,電車・バス・航空機などの交通機関に乗って、運転その他の職務につくこと。
条目,じょうもく,箇条書きにした法令・規則。また、その一つ一つの項目。
城門,じょうもん,城の門。城の出入り口。
常夜,じょうや,１ 夜の間じゅうある現象や状態が続くこと。２ 夜のような暗さが昼間も続くこと。
条約,じょうやく,国家間または国家と国際機関との間の文書による合意。
情由,じょうゆう,事の理由。事情。
剰余,じょうよ,１ あまり。余分。２ 割り算のあまり。割りきれないで残った数。
乗用,じょうよう,人が乗るために用いること。
常用,じょうよう,１ 日常使用すること。２ かなりの日数にわたって、続けて使うこと。
常理,じょうり,変わることのない道理。
情理,じょうり,１ 人情と道理。２ 事情と道理。物事の筋道。
条理,じょうり,物事の筋道。道理。
上陸,じょうりく,１ 船や海から陸に上がること。航空機で空港に降り立つことにもいう。２ 外国の文物が渡来すること。また、海外の資本などが進出してくること。３ 日本の入国管理制度で、外国人が1の許可を受けること。入国2と区別していう。
上流,じょうりゅう,１ 川の流れの、源に近い方。また、源に近い部分。かわかみ。２ 社会的地位・生活程度などの高い階級。
蒸留,じょうりゅう,液体を沸騰するまで加熱あるいは減圧して蒸発させ、その蒸気を冷やして再び液体にすること。
常緑,じょうりょく,植物の葉が一年中緑であること。
条令,じょうれい,箇条書きの形式をとる法令。条例。
条例,じょうれい,１ 地方公共団体がその自治権に基づき、法令の範囲内で議会の議決によって制定する法。２ 箇条書きの形式をとる法令。条例。
常連,じょうれん,１ その興行場・遊戯場・飲食店などに、いつも来る客。常客。２ いつも連れだって一緒に行動する仲間。
助演,じょえん,演劇・映画などで、脇役として主役の演技を助けて演じること。また、その人。
除外,じょがい,その範囲には入らないものとして取りのけること。除くこと。
除害,じょがい,害になるものを除くこと。
除去,じょきょ,じゃまなものをのぞき去ること。取りのけること。
叙勲,じょくん,国家や公共事業に功労のあった人に勲等を授け、勲章を与えること。
叙景,じょけい,風景を文章に書き表すこと。
女傑,じょけつ,しっかりした気性とすぐれた知恵をもち、実行力に富んだ女性。
助言,じょげん,１ 助けになるような意見や言葉を、そばから言ってやること。また、その言葉。助語。じょごん。２ 星新一のショートショート作品。盗賊会社に収録。
序言,じょげん,前書き。はしがき。緒言。序文。
徐行,じょこう,電車や自動車などが、速力を落としてゆっくりと進むこと。
如才,じょさい,１ 気を使わないために生じた手落ちがあること。また、そのさま。手抜かり。多く、下に否定の語を伴って用いる。２ 眼前に神・主君などがいるかのように、謹みかしこまること。にょざい。
助産,じょさん,１ 分娩 (ぶんべん) を助け、産婦・新生児の世話をすること。２ 産業を助成すること。
女史,じょし,１ 社会的地位や名声のある女性を敬意を込めていう語。また、その女性の名前に添えて敬意を表す語。２ 昔、文書の事務を扱った女官。
女子,じょし,１ おんなのこ。むすめ。２ 女性。おんな。
叙事,じょじ,事実や事件を、ありのままに述べ記すこと。また、その述べ記したもの。
女児,じょじ,おんなのこ。女子。⇔男児。
除湿,じょしつ,湿気を取り除くこと。
助手,じょしゅ,１ 仕事の手助けをする人。２ 大学で、教授・准教授・助教の職務を助ける職。また、その人。学校教育法では、「その所属する組織における教育研究の円滑な実施に必要な業務に従事する」と規定される。
叙述,じょじゅつ,物事について順を追って述べること。また、その述べたもの。
徐徐,じょじょ,１ 挙動が落ち着いてゆったりしているさま。２ 進行や変化がゆっくりしているさま。
序章,じょしょう,小説・論文などの、本題に入る前に前置きとして置かれた文章。
叙情,じょじょう,自分の感情を述べ表すこと。→叙事
除水,じょすい,水を除くこと。排水。
助勢,じょせい,力を添えて援助すること。また、その人。加勢。
助成,じょせい,研究や事業が発展し完成するよう援助すること。
女性,じょせい,１ おんな。婦人。女子。一般には、成人した女をいう。２ インド‐ヨーロッパ語系の文法で、名詞・代名詞・形容詞などの性の区別の一。男性・中性に対する。
叙説,じょせつ,順序を立てて述べ説くこと。
序説,じょせつ,本論・本題に入る前の、前置きの論説。序論。
除雪,じょせつ,降り積もった雪を取り除くこと。
女装,じょそう,男が女の姿をすること。また、その装い。
除草,じょそう,雑草を取り除くこと。草とり。《季 夏》
除霜,じょそう,１ 霜の害を防ぐため、植物などに覆いを掛けること。しもよけ。２ 電気冷蔵庫の霜取り。
除隊,じょたい,兵役を解かれること。
女中,じょちゅう,１ よその家に雇われて家事の手伝いなどをする女性。現在は「お手伝いさん」という。２ 旅館・料理屋で、客への給仕や雑用に当たる女性。３ 婦人を敬っていう語。御婦人。４ 近世、宮仕えをしている女性。または、武家の殿中に奉公している女性。御殿女中。奥女中。
助長,じょちょう,１ 力を添えて、ある物事の成長や発展を助けること。また、ある傾向をより著しくさせること。２ 不必要な力添えをして、かえって害すること。
女難,じょなん,男性が女性に好かれることによって身に受ける災難。女禍。
助筆,じょひつ,他人の文章に文辞を加えて、文章を直すこと。加筆。
序幕,じょまく,１ 芝居の最初の幕。２ 物事の始まったばかりのところ。
